"Authors","Author full names","Author(s) ID","Title","Year","Cited by","DOI","Link","Affiliations","Authors with affiliations","Document Type","Source"
"Gao G.; Hazbeh O.; Davoodi S.; Tabasi S.; Rajabi M.; Ghorbani H.; Radwan A.E.; Csaba M.; Mosavi A.H.","Gao, Guozhong (7403170905); Hazbeh, Omid (57222329058); Davoodi, Shadfar (57200278629); Tabasi, Somayeh (57214823288); Rajabi, Meysam (57289827100); Ghorbani, Hamzeh (55378129500); Radwan, Ahmed E. (56681825800); Csaba, Mako (58074672800); Mosavi, Amir H. (57191408081)","7403170905; 57222329058; 57200278629; 57214823288; 57289827100; 55378129500; 56681825800; 58074672800; 57191408081","Prediction of fracture density in a gas reservoir using robust computational approaches","2023","2","10.3389/feart.2022.1023578","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143890612&doi=10.3389%2ffeart.2022.1023578&partnerID=40&md5=a9b650eccb46b7d18edcb89d488b6135","College of Geophysics and Petroleum Resources, Yangtze University, Hubei, Wuhan, China; Cooperative Innovation Center of Unconventional Oil and Gas, Yangtze University (Ministry of Education & Hubei Province), Hubei, Wuhan, China; Faculty of Earth Sciences, Shahid Chamran University, Ahwaz, Iran; School of Earth Sciences and Engineering, Tomsk Polytechnic University, Tomsk, Russian Federation; Faculty of Industry and Mining (Khash), University of Sistan and Baluchestan, Zahedan, Iran; Department of Mining Engineering, Birjand University of Technology, Birjand, Iran; Young Researchers and Elite Club, Ahvaz Branch, Islamic Azad University, Ahvaz, Iran; Faculty of General Medicine, University of Traditional Medicine of Armenia (UTMA), Yerevan, Armenia; Faculty of Geography and Geology, Institute of Geological Sciences, Jagiellonian University, Kraków, Poland; Budapest, Hungary; Kyiv, Ukraine","Gao G., College of Geophysics and Petroleum Resources, Yangtze University, Hubei, Wuhan, China, Cooperative Innovation Center of Unconventional Oil and Gas, Yangtze University (Ministry of Education & Hubei Province), Hubei, Wuhan, China; Hazbeh O., Faculty of Earth Sciences, Shahid Chamran University, Ahwaz, Iran; Davoodi S., School of Earth Sciences and Engineering, Tomsk Polytechnic University, Tomsk, Russian Federation; Tabasi S., Faculty of Industry and Mining (Khash), University of Sistan and Baluchestan, Zahedan, Iran; Rajabi M., Department of Mining Engineering, Birjand University of Technology, Birjand, Iran; Ghorbani H., Young Researchers and Elite Club, Ahvaz Branch, Islamic Azad University, Ahvaz, Iran, Faculty of General Medicine, University of Traditional Medicine of Armenia (UTMA), Yerevan, Armenia; Radwan A.E., Faculty of Geography and Geology, Institute of Geological Sciences, Jagiellonian University, Kraków, Poland; Csaba M., Budapest, Hungary; Mosavi A.H., Kyiv, Ukraine","Article","Scopus"
"Horbulin V.P.; Hulianytskyi L.F.; Sergienko I.V.","Horbulin, V.P. (57216353855); Hulianytskyi, L.F. (58635947100); Sergienko, I.V. (7006221914)","57216353855; 58635947100; 7006221914","Planning of Logistics Missions of the “UAV+Vehicle” Hybrid Systems","2023","0","10.1007/s10559-023-00609-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173566529&doi=10.1007%2fs10559-023-00609-8&partnerID=40&md5=d6da5c8f096b8bcb1b4e559d09a115aa","National Academy of Sciences of Ukraine, Kyiv, Ukraine; V. M. Glushkov Institute of Cybernetics, National Academy of Sciences of Ukraine, Kyiv, Ukraine","Horbulin V.P., National Academy of Sciences of Ukraine, Kyiv, Ukraine; Hulianytskyi L.F., V. M. Glushkov Institute of Cybernetics, National Academy of Sciences of Ukraine, Kyiv, Ukraine; Sergienko I.V., V. M. Glushkov Institute of Cybernetics, National Academy of Sciences of Ukraine, Kyiv, Ukraine","Article","Scopus"
"Kryvenko I.; Chalyy K.","Kryvenko, Inna (58352682800); Chalyy, Kyrylo (14068594400)","58352682800; 14068594400","Phenomenological toolkit of the metaverse for medical informatics’ adaptive learning; [CONJUNTO DE HERRAMIENTAS FENOMENOLÓGICAS DEL METAVERSO PARA EL APRENDIZAJE ADAPTATIVO DE LA INFORMÁTICA MÉDICA]","2023","0","10.1016/j.edumed.2023.100854","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173497273&doi=10.1016%2fj.edumed.2023.100854&partnerID=40&md5=ccd56210a1a9239e68845181fd4d827d","Department of Medical and Biological Physics and Informatics, Bogomolets National Medical University, 13, Shevchenko Boulvard, Kyiv, 01601, Ukraine","Kryvenko I., Department of Medical and Biological Physics and Informatics, Bogomolets National Medical University, 13, Shevchenko Boulvard, Kyiv, 01601, Ukraine; Chalyy K., Department of Medical and Biological Physics and Informatics, Bogomolets National Medical University, 13, Shevchenko Boulvard, Kyiv, 01601, Ukraine","Article","Scopus"
"Kushnir N.O.; Valko N.V.","Kushnir, Nataliya O. (55557097300); Valko, Nataliia V. (56289839100)","55557097300; 56289839100","Methodical aspects of studying artificial intelligence by future teachers","2023","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178374514&partnerID=40&md5=b3d26ca4cdd93703c1f53a6deb8a8af7","Kherson State University, 27 Universytetska St., Kherson, 73003, Ukraine; Bogdan Khmelnitsky Melitopol State Pedagogical University, 59 Naukovohomistechka Str., Zaporizhzhia, 69000, Ukraine","Kushnir N.O., Kherson State University, 27 Universytetska St., Kherson, 73003, Ukraine, Bogdan Khmelnitsky Melitopol State Pedagogical University, 59 Naukovohomistechka Str., Zaporizhzhia, 69000, Ukraine; Valko N.V., Kherson State University, 27 Universytetska St., Kherson, 73003, Ukraine","Conference paper","Scopus"
"Letychevskyi O.","Letychevskyi, O. (55557358400)","55557358400","Congnitive Networks, Their Properties and Applications in Attack Detection and Prevention Systems","2023","0","10.1007/s10559-023-00621-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173209009&doi=10.1007%2fs10559-023-00621-y&partnerID=40&md5=a00228160680e1dd8f7e3bcf790746b0","V. M. Glushkov Institute of Cybernetics, National Academy of Sciences of Ukraine, Kyiv, Ukraine","Letychevskyi O., V. M. Glushkov Institute of Cybernetics, National Academy of Sciences of Ukraine, Kyiv, Ukraine","Article","Scopus"
"Bashynska I.; Niekrasova L.; Malynovska Y.","Bashynska, Iryna (57148584000); Niekrasova, Liubov (57205358894); Malynovska, Yuliia (57202220303)","57148584000; 57205358894; 57202220303","Bayesian network as a decision support system in the company's risk management system of emergency situations","2023","0","10.1109/KhPIWeek61412.2023.10312911","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179525220&doi=10.1109%2fKhPIWeek61412.2023.10312911&partnerID=40&md5=6a7dd02e69aae17bcdfed844da4fd533","Department of Enterprise Management, AGH University of Krakow, Krakow, Poland; Department of Economics, Odessа Polytechnic National University, Odesa, Ukraine; Department of Foreign Trade and Customs, Lviv Polytechnic National University, Lviv, Ukraine","Bashynska I., Department of Enterprise Management, AGH University of Krakow, Krakow, Poland; Niekrasova L., Department of Economics, Odessа Polytechnic National University, Odesa, Ukraine; Malynovska Y., Department of Foreign Trade and Customs, Lviv Polytechnic National University, Lviv, Ukraine","Conference paper","Scopus"
"Podorozhniak A.; Liubchenko N.; Onishchenko D.","Podorozhniak, Andrii (57202229410); Liubchenko, Nataliia (57202232887); Onishchenko, Daniil (58759251400)","57202229410; 57202232887; 58759251400","Forest Recovery Detection Based on U-Net and LinkNet","2023","0","10.1109/KhPIWeek61412.2023.10312869","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179503156&doi=10.1109%2fKhPIWeek61412.2023.10312869&partnerID=40&md5=78d708c5c9b1881414fcf2d00db8f197","Educational and Scientific Institute of Computer Sciences and Information Technologies, National Technical University, “Kharkiv Polytechnic Institute”, Kharkiv, Ukraine","Podorozhniak A., Educational and Scientific Institute of Computer Sciences and Information Technologies, National Technical University, “Kharkiv Polytechnic Institute”, Kharkiv, Ukraine; Liubchenko N., Educational and Scientific Institute of Computer Sciences and Information Technologies, National Technical University, “Kharkiv Polytechnic Institute”, Kharkiv, Ukraine; Onishchenko D., Educational and Scientific Institute of Computer Sciences and Information Technologies, National Technical University, “Kharkiv Polytechnic Institute”, Kharkiv, Ukraine","Conference paper","Scopus"
"Shmelova T.; Sikirda Y.; Yatsko M.; Kolotusha V.","Shmelova, Tetiana (57202443723); Sikirda, Yuliya (57202192920); Yatsko, Maxim (57432943600); Kolotusha, Volodymyr (58099286600)","57202443723; 57202192920; 57432943600; 58099286600","Intelligent Integrated Training System for the Aviation Specialists “Collaborative Decision-Making –Education” (CDM-E)","2023","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178267573&partnerID=40&md5=c520c5ae6eea9de3e56435bfca6cc5f4","National Aviation University, Liubomyra Huzara avenue, 1, Kyiv, 03058, Ukraine; Flight Academy of the National Aviation University, Stepana Chobanu str., 1, Kropyvnytskyi, 25005, Ukraine","Shmelova T., National Aviation University, Liubomyra Huzara avenue, 1, Kyiv, 03058, Ukraine; Sikirda Y., Flight Academy of the National Aviation University, Stepana Chobanu str., 1, Kropyvnytskyi, 25005, Ukraine; Yatsko M., National Aviation University, Liubomyra Huzara avenue, 1, Kyiv, 03058, Ukraine; Kolotusha V., National Aviation University, Liubomyra Huzara avenue, 1, Kyiv, 03058, Ukraine","Conference paper","Scopus"
"Chalyi S.; Leshchynskyi V.","Chalyi, Serhii (58695079700); Leshchynskyi, Volodymyr (57210290233)","58695079700; 57210290233","POSSIBLE EVALUATION OF THE CORRECTNESS OF EXPLANATIONS TO THE END USER IN AN ARTIFICIAL INTELLIGENCE SYSTEM","2023","0","10.20998/2522-9052.2023.4.10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178918225&doi=10.20998%2f2522-9052.2023.4.10&partnerID=40&md5=fd0f04e5a36d152ef4663be821154567","Kharkiv National University of Radio Electronics, Kharkiv, Ukraine; Information Control Systems Department, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine; Software Engineering Department, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine","Chalyi S., Kharkiv National University of Radio Electronics, Kharkiv, Ukraine, Information Control Systems Department, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine; Leshchynskyi V., Kharkiv National University of Radio Electronics, Kharkiv, Ukraine, Software Engineering Department, Kharkiv National University of Radio Electronics, Kharkiv, Ukraine","Article","Scopus"
"Stetsyuk P.; Stovba V.; Zhmud O.","Stetsyuk, Petro (12785999500); Stovba, Viktor (57205705471); Zhmud, Oleksandr (58734156300)","12785999500; 57205705471; 58734156300","Storage Location Problem: Properties and Computational Aspects","2023","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178260541&partnerID=40&md5=f00bdb16ed95943eeadabfc2fbf7c101","V.M. Glushkov Institute of Cybernetics of the NASU, Academician Glushkov Avenue, 40, Kyiv, 03187, Ukraine","Stetsyuk P., V.M. Glushkov Institute of Cybernetics of the NASU, Academician Glushkov Avenue, 40, Kyiv, 03187, Ukraine; Stovba V., V.M. Glushkov Institute of Cybernetics of the NASU, Academician Glushkov Avenue, 40, Kyiv, 03187, Ukraine; Zhmud O., V.M. Glushkov Institute of Cybernetics of the NASU, Academician Glushkov Avenue, 40, Kyiv, 03187, Ukraine","Conference paper","Scopus"
"Mazhara G.; Melnychuk V.","Mazhara, Glib (58029170000); Melnychuk, Viktoriia (58654362600)","58029170000; 58654362600","Artificial Intelligence Management in Industry 4.0 - Challenge or Opportunity","2024","0","10.1007/978-3-031-44282-7_44","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174444237&doi=10.1007%2f978-3-031-44282-7_44&partnerID=40&md5=ad23a7b13dd1d2716e5c820ff1f36ae8","National Technical University of Ukraine, Igor Sikorsky Kyiv Polytechnic Institute, Kyiv, Ukraine","Mazhara G., National Technical University of Ukraine, Igor Sikorsky Kyiv Polytechnic Institute, Kyiv, Ukraine; Melnychuk V., National Technical University of Ukraine, Igor Sikorsky Kyiv Polytechnic Institute, Kyiv, Ukraine","Conference paper","Scopus"
"Venkatesan V.K.; Ramakrishna M.T.; Batyuk A.; Barna A.; Havrysh B.","Venkatesan, Vinoth Kumar (57207935965); Ramakrishna, Mahesh Thyluru (57638929100); Batyuk, Anatoliy (24482887400); Barna, Andrii (57222488672); Havrysh, Bohdana (57202210649)","57207935965; 57638929100; 24482887400; 57222488672; 57202210649","High-Performance Artificial Intelligence Recommendation of Quality Research Papers Using Effective Collaborative Approach","2023","5","10.3390/systems11020081","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149257036&doi=10.3390%2fsystems11020081&partnerID=40&md5=0ccbc2db08d4071f81cb370133c02058","School of Information Technology and Engineering, VIT University, Tamil Nadu, Vellore, 632014, India; Department of Computer Science and Engineering, Faculty of Engineering and Technology, JAIN (Deemed-to-be University), Karnataka, Bangalore, 562112, India; Department of Automated Control Systems, Lviv Polytechnic National University, Lviv, 79013, Ukraine; Department of Artificial Intelligence, Lviv Polytechnic National University, Lviv, 79013, Ukraine; Department of Publishing Information Technologies, Lviv Polytechnic National University, Lviv, 79013, Ukraine","Venkatesan V.K., School of Information Technology and Engineering, VIT University, Tamil Nadu, Vellore, 632014, India; Ramakrishna M.T., Department of Computer Science and Engineering, Faculty of Engineering and Technology, JAIN (Deemed-to-be University), Karnataka, Bangalore, 562112, India; Batyuk A., Department of Automated Control Systems, Lviv Polytechnic National University, Lviv, 79013, Ukraine; Barna A., Department of Artificial Intelligence, Lviv Polytechnic National University, Lviv, 79013, Ukraine; Havrysh B., Department of Publishing Information Technologies, Lviv Polytechnic National University, Lviv, 79013, Ukraine","Article","Scopus"
"Sinkevych O.; Boyko Y.; Sokolovskii B.; Olenych I.; Monastyrskii L.; Pavlyk M.","Sinkevych, Oleh (57211010573); Boyko, Yaroslav (57060609200); Sokolovskii, Bohdan (57211757719); Olenych, Igor (6506030300); Monastyrskii, Liubomyr (55912772800); Pavlyk, Mykhailo (37029017400)","57211010573; 57060609200; 57211757719; 6506030300; 55912772800; 37029017400","Comparative Study of ABC and GWO Implementations on Raspberry Pi 3","2023","0","10.1109/ELIT61488.2023.10310885","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179521409&doi=10.1109%2fELIT61488.2023.10310885&partnerID=40&md5=3e369b14285a40f64689791c75b7203b","Ivan Franko National University of Lviv, Lviv, Ukraine","Sinkevych O., Ivan Franko National University of Lviv, Lviv, Ukraine; Boyko Y., Ivan Franko National University of Lviv, Lviv, Ukraine; Sokolovskii B., Ivan Franko National University of Lviv, Lviv, Ukraine; Olenych I., Ivan Franko National University of Lviv, Lviv, Ukraine; Monastyrskii L., Ivan Franko National University of Lviv, Lviv, Ukraine; Pavlyk M., Ivan Franko National University of Lviv, Lviv, Ukraine","Conference paper","Scopus"
"Andriichuk O.; Kadenko S.; Tsyhanok O.; Besklinska O.; Trubitsyna O.","Andriichuk, Oleh (54881853400); Kadenko, Serhii (23995340900); Tsyhanok, Olha (57219854556); Besklinska, Olena (58733787300); Trubitsyna, Olena (58734521200)","54881853400; 23995340900; 57219854556; 58733787300; 58734521200","Usage Artificial Intelligence Toolkit for Improving Translations to English","2023","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178257302&partnerID=40&md5=2bc7145ba72e0720657f95e360f1f463","Institute for Information Recording, The National Academy of Sciences of Ukraine, 2, Shpak str., Kyiv, 03113, Ukraine; Taras Shevchenko National University of Kyiv, 64/13, Volodymyrs’ka str., Kyiv, 01601, Ukraine; National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute"", 37, Prospect Beresteiskyi (former Peremohy), Kyiv, 03056, Ukraine; State University of Trade and Economics, 19, Kyoto str., Kyiv, 02156, Ukraine; Kyiv National Linguistic University, 73, Velyka Vasylkivska str., Kyiv, 03680, Ukraine","Andriichuk O., Institute for Information Recording, The National Academy of Sciences of Ukraine, 2, Shpak str., Kyiv, 03113, Ukraine, Taras Shevchenko National University of Kyiv, 64/13, Volodymyrs’ka str., Kyiv, 01601, Ukraine, National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute"", 37, Prospect Beresteiskyi (former Peremohy), Kyiv, 03056, Ukraine; Kadenko S., Institute for Information Recording, The National Academy of Sciences of Ukraine, 2, Shpak str., Kyiv, 03113, Ukraine; Tsyhanok O., State University of Trade and Economics, 19, Kyoto str., Kyiv, 02156, Ukraine; Besklinska O., Kyiv National Linguistic University, 73, Velyka Vasylkivska str., Kyiv, 03680, Ukraine; Trubitsyna O., Kyiv National Linguistic University, 73, Velyka Vasylkivska str., Kyiv, 03680, Ukraine","Conference paper","Scopus"
"Kuznetsov O.; Peliukh O.; Poluyanenko N.; Bohucharskyi S.; Kolovanova I.","Kuznetsov, Oleksandr (57190497922); Peliukh, Oleksandr (58290509500); Poluyanenko, Nikolay (57090779600); Bohucharskyi, Serhii (58738528700); Kolovanova, Ievgeniia (57194029246)","57190497922; 58290509500; 57090779600; 58738528700; 57194029246","Comparative Analysis of Cryptographic Hash Functions in Blockchain Systems","2023","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178350851&partnerID=40&md5=55e9eec8676abefa534fc91d5bb13132","Department of Political Sciences, Communication and International Relations, University of Macerata, 30/32 Via Crescimbeni, Macerata, 62100, Italy; Department of Information and Communication Systems Security, School of Computer Sciences, V. N. Karazin Kharkiv National University, 4 Svobody sq., Kharkiv, 61022, Ukraine","Kuznetsov O., Department of Political Sciences, Communication and International Relations, University of Macerata, 30/32 Via Crescimbeni, Macerata, 62100, Italy, Department of Information and Communication Systems Security, School of Computer Sciences, V. N. Karazin Kharkiv National University, 4 Svobody sq., Kharkiv, 61022, Ukraine; Peliukh O., Department of Information and Communication Systems Security, School of Computer Sciences, V. N. Karazin Kharkiv National University, 4 Svobody sq., Kharkiv, 61022, Ukraine; Poluyanenko N., Department of Information and Communication Systems Security, School of Computer Sciences, V. N. Karazin Kharkiv National University, 4 Svobody sq., Kharkiv, 61022, Ukraine; Bohucharskyi S., Department of Information and Communication Systems Security, School of Computer Sciences, V. N. Karazin Kharkiv National University, 4 Svobody sq., Kharkiv, 61022, Ukraine; Kolovanova I., Department of Information and Communication Systems Security, School of Computer Sciences, V. N. Karazin Kharkiv National University, 4 Svobody sq., Kharkiv, 61022, Ukraine","Conference paper","Scopus"
"Kussainov K.; Goncharuk N.; Prokopenko L.; Pershko L.; Vyshnivska B.; Akimov O.","Kussainov, Khalel (57192253834); Goncharuk, Nataliia (57226285963); Prokopenko, Leonid (57226279079); Pershko, Larysa (57970875900); Vyshnivska, Bohdana (58133670800); Akimov, Oleksandr (57218282721)","57192253834; 57226285963; 57226279079; 57970875900; 58133670800; 57218282721","Anti-corruption Management Mechanisms and the Construction of a Security Landscape in the Financial Sector of the EU Economic System Against the Background of Challenges to European Integration: Implications for Artificial Intelligence Technologies","2023","2","10.46852/0424-2513.1.2023.20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160639310&doi=10.46852%2f0424-2513.1.2023.20&partnerID=40&md5=0c91556c9f470231c8eeef357e128a3b","Dept. of ""Public Administration, Finance and Marketing"", Aktobe Regional University, K. Zhubanova, Aktobe, Kazakhstan; Dept. of Publik Administrafion and Lokal Self-government, Dnipro University of Technologi, Dnipro, Ukraine; Dept. of Finance and Marketing Private Higher Educational Institution ""Institute of Ecology of Economics and Law"", Kyiv, Ukraine; Dept. of Marketing and International Trade, National University of Life and Environmental Sciences of Ukraine, Kyiv, Ukraine; Dept. of Public Administration, Interregional Academy of Personnel Management, Kyiv, Ukraine","Kussainov K., Dept. of ""Public Administration, Finance and Marketing"", Aktobe Regional University, K. Zhubanova, Aktobe, Kazakhstan; Goncharuk N., Dept. of Publik Administrafion and Lokal Self-government, Dnipro University of Technologi, Dnipro, Ukraine; Prokopenko L., Dept. of Publik Administrafion and Lokal Self-government, Dnipro University of Technologi, Dnipro, Ukraine; Pershko L., Dept. of Finance and Marketing Private Higher Educational Institution ""Institute of Ecology of Economics and Law"", Kyiv, Ukraine; Vyshnivska B., Dept. of Marketing and International Trade, National University of Life and Environmental Sciences of Ukraine, Kyiv, Ukraine; Akimov O., Dept. of Public Administration, Interregional Academy of Personnel Management, Kyiv, Ukraine","Article","Scopus"
"Yukhno O.; Fedosova O.; Martovytska O.; Sezonov V.; Sezonova I.","Yukhno, Oleksandr (57219183724); Fedosova, Olena (57216729454); Martovytska, Olena (57221606827); Sezonov, Viktor (57212604166); Sezonova, Iryna (15519673800)","57219183724; 57216729454; 57221606827; 57212604166; 15519673800","Solving the Problem of Forensic Identification of a Person's Appearance Based on Video Materials: An Integrated Approach","2023","1","10.26512/lstr.v15i1.43472","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160942839&doi=10.26512%2flstr.v15i1.43472&partnerID=40&md5=1b127b4b0bb2b7be6329ea1b818899c5","Department of Criminology, Forensic Expertise and Medical Training, Kharkiv National University of Internal Affairs, Kharkiv, Ukraine; Research Laboratory on Combating Crime Problems, Kharkiv National University of Internal Affairs, Kharkiv, Ukraine; Department of the Criminal Procedure and Pre-trial Investigation Organization, Kharkiv National University of Internal Affairs, Kharkiv, Ukraine; Department of Autotechnical Research and Forensic Research of Vehicles, Kharkiv Research Forensic Center, The Ministry of Internal Affairs, Kharkiv, Ukraine; Kharkiv National University of Radio Electronic, Kharkiv, Ukraine","Yukhno O., Department of Criminology, Forensic Expertise and Medical Training, Kharkiv National University of Internal Affairs, Kharkiv, Ukraine; Fedosova O., Research Laboratory on Combating Crime Problems, Kharkiv National University of Internal Affairs, Kharkiv, Ukraine; Martovytska O., Department of the Criminal Procedure and Pre-trial Investigation Organization, Kharkiv National University of Internal Affairs, Kharkiv, Ukraine; Sezonov V., Department of Autotechnical Research and Forensic Research of Vehicles, Kharkiv Research Forensic Center, The Ministry of Internal Affairs, Kharkiv, Ukraine; Sezonova I., Kharkiv National University of Radio Electronic, Kharkiv, Ukraine","Article","Scopus"
"Vlasenko D.; Inkabaieva O.; Peretiatko M.; Kovalchuk D.; Sereda O.","Vlasenko, Dmytro (57220834070); Inkabaieva, Olha (58704496400); Peretiatko, Maksym (57981779800); Kovalchuk, Danyil (58704344300); Sereda, Oleksandr (58704645400)","57220834070; 58704496400; 57981779800; 58704344300; 58704645400","HELICOPTER RADIO SYSTEM FOR LOW ALTITUDES AND FLIGHT SPEED MEASURING WITH PULSED ULTRA-WIDEBAND STOCHASTIC SOUNDING SIGNALS AND ARTIFICIAL INTELLIGENCE ELEMENTS; [ВЕРТОЛІТНИЙ РАДІОКОМПЛЕКС МАЛИХ ВИСОТ І ШВИДКОСТЕЙ ПОЛЬОТУ З ОБРОБЛЕННЯМ ІМПУЛЬСНИХ НАДШИРОКОСМУГОВИХ СТОХАСТИЧНИХ СИГНАЛІВ ТА ЕЛЕМЕНТАМИ ШТУЧНОГО ІНТЕЛЕКТУ]","2023","0","10.32620/reks.2023.3.05","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177446387&doi=10.32620%2freks.2023.3.05&partnerID=40&md5=cab2c2e153374b40e565be7104d2021f","Department of Aerospace Radio-Electronic Systems, National Aerospace University ""Kharkiv Aviation Institute"", Kharkiv, Ukraine; Department of Aerospace Radio-Electronic Systems, National Aerospace University “Kharkiv Aviation Institute”, Kharkiv, Ukraine; Department of Aerospace Radio-Electronic Systems, National Aerospace University “Kharkiv Aviation Institute”, Kharkiv, Ukraine; Technician at the Department of Aerospace Radio-Electronic Systems, National Aerospace University “Kharkiv Aviation Institute”, Kharkiv, Ukraine","Vlasenko D., Department of Aerospace Radio-Electronic Systems, National Aerospace University ""Kharkiv Aviation Institute"", Kharkiv, Ukraine; Inkabaieva O., Department of Aerospace Radio-Electronic Systems, National Aerospace University ""Kharkiv Aviation Institute"", Kharkiv, Ukraine; Peretiatko M., Department of Aerospace Radio-Electronic Systems, National Aerospace University “Kharkiv Aviation Institute”, Kharkiv, Ukraine; Kovalchuk D., Department of Aerospace Radio-Electronic Systems, National Aerospace University “Kharkiv Aviation Institute”, Kharkiv, Ukraine; Sereda O., Technician at the Department of Aerospace Radio-Electronic Systems, National Aerospace University “Kharkiv Aviation Institute”, Kharkiv, Ukraine","Article","Scopus"
"Vorobiyenko P.","Vorobiyenko, Petro (58186879400)","58186879400","Sustainable Development in the Global Information Space","2023","0","10.1007/978-3-031-46880-3_1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177886748&doi=10.1007%2f978-3-031-46880-3_1&partnerID=40&md5=b293b63c935a50e7ddfef9ff3eab9459","Institute of Telecommunications and Global Information Space of the National Academy of Sciences of Ukraine, Chokolivskiy Blvd. 13, Kyiv, 03186, Ukraine","Vorobiyenko P., Institute of Telecommunications and Global Information Space of the National Academy of Sciences of Ukraine, Chokolivskiy Blvd. 13, Kyiv, 03186, Ukraine","Conference paper","Scopus"
